day;sunrise;sunset;civil_dawn;civil_dusk
1;05:15;21:14;04:22;22:08
2;05:12;21:17;04:18;22:11
3;05:09;21:19;04:15;22:14
4;05:07;21:22;04:12;22:17
5;05:04;21:24;04:09;22:20
6;05:01;21:27;04:05;22:23
7;04:59;21:29;04:02;22:26
8;04:56;21:31;03:59;22:30
9;04:54;21:34;03:56;22:33
10;04:51;21:36;03:52;22:36
11;04:49;21:39;03:49;22:39
12;04:46;21:41;03:46;22:42
13;04:44;21:43;03:43;22:46
14;04:42;21:46;03:39;22:49
15;04:39;21:48;03:36;22:52
16;04:37;21:51;03:33;22:55
17;04:35;21:53;03:30;22:59
18;04:33;21:55;03:27;23:02
19;04:30;21:57;03:24;23:05
20;04:28;22:00;03:20;23:09
21;04:26;22:02;03:17;23:12
22;04:24;22:04;03:14;23:15
23;04:22;22:06;03:11;23:18
24;04:20;22:08;03:08;23:22
25;04:18;22:10;03:05;23:25
26;04:16;22:12;03:02;23:28
27;04:15;22:14;02:59;23:31
28;04:13;22:16;02:56;23:35
29;04:11;22:18;02:53;23:38
30;04:10;22:20;02:50;23:41
31;04:08;22:22;02:47;23:44
